title, price, description, category
Casa Jardim Itaipu R-0940,R$ 100.000,À venda   | 3 quartos | 104 m²,Casas
Condomínio fechado Solares Presidente Prudente Sp,R$ 550.000,À venda   | 420 m²,"Terrenos, sítios e fazendas"
"Apartamento com 2 dormitórios à venda, 89 m² por R$ 670.000 - Vila Mathilde Vieira - Presi",R$ 100.000,À venda   | 2 quartos | 90 m² | Condomínio: R$ 500,ApartamentosProfissional
"Terreno para venda em presidente prudente, prudentino",R$ 260.000,À venda   | 228 m²,"Terrenos, sítios e fazendasProfissional"
Apartamento no Condomínio residencial Village Park,R$ 150.000,À venda   | 3 quartos | 112 m² | Condomínio: R$ 520,ApartamentosProfissional
Excelente terreno plaino á venda no Parque Residencial Carandá.Área total de 180m².,R$ 1.100,À venda   | 180 m²,"Terrenos, sítios e fazendasProfissional"
Oportunidade de morar localização privilegiada Parque do Povo,R$ 1.350.000,À venda   | 2 quartos | 99 m²,Apartamentos
Casa a venda,R$ 115.000,À venda   | 2 quartos | 50 m²,Casas
Residência na Vila Formosa - Próximo a Pizzaria n°1,R$ 325.000,Para alugar   | 3 quartos,Casas
"Casa do Dahma 1,perto da portaria",R$ 3.000,À venda   | 4 quartos | 360 m² | Condomínio: R$ 400,Casas
Casa,R$ 1.100,À venda   | 0 quarto,CasasProfissional
Condomínio fechado Porto Seguro de Presidente Prudente Sp,R$ 215.000,À venda   | 430 m² | Condomínio: R$ 600,"Terrenos, sítios e fazendas"
Casa Nova Parque Shiraiwa,R$ 175.000,À venda   | 2 quartos | 50 m²,Casas
Apartamento Padrão,R$ 290.000,Para alugar   | 3 quartos | 127 m² | Condomínio: R$ 600,ApartamentosProfissional
Porto Madero,R$ 14.660,À venda   | 340 m²,"Terrenos, sítios e fazendas"
Lindo Apartamento Edf. Parque Príncipe Imperial,R$ 500.000,À venda   | 2 quartos | 48 m²,ApartamentosProfissional
Casa térrea res. São Paulo,R$ 700.000,À venda   | 3 quartos | 110 m²,Casas
"Condomínio fechado Portinari 2 $14.660,00 Alv. Machado Sp",R$ 250.000,À venda   | 300 m²,"Terrenos, sítios e fazendas"
Apartamento no Centro,R$ 180.000,À venda   | 3 quartos | 150 m²,ApartamentosProfissional
Vila Lessa,R$ 400,À venda   | 4 quartos | 274 m²,Casas
Vende-se ou troca,R$ 270.000,À venda,"Terrenos, sítios e fazendas"
Casa em presidente Epitacio(Campinal),R$ 470.000,À venda   | 300 m²,"Terrenos, sítios e fazendas"
Troco por carro,R$ 35.000,À venda   | 0 m² | Condomínio: R$ 0,"Terrenos, sítios e fazendas"
"Apartamento em Guarulhos, 50m, 2 quartos, 1 vaga, próximo ao Shopping Internacional",R$ 250.000,À venda   | 2 quartos | 50 m² | Condomínio: R$ 368,Apartamentos
Apto ed petit maison,R$ 260.000,À venda   | 2 quartos | 54 m² | Condomínio: R$ 390,Apartamentos
Casa a venda jd paulista - presidente prudente sp,R$ 395.000,À venda   | 3 quartos | 275 m²,Casas
Alugo Apartamento,R$ 1.200,Para alugar   | 4 quartos | 130 m² | Condomínio: R$ 600,Apartamentos
Damha 4 Presidente Prudente,R$ 25.000,À venda   | 647 m²,"Terrenos, sítios e fazendas"
